route_stop_number,stop_name
1,Badarpur Border
2,Jaitpur Crossing
3,Tughlakabad Metro Station
4,Power House
5,Onida Factory
6,Aali Village
7,Haldiram / Mohan Estate Metro Station
8,Maruti Factory
9,Madanpur Khadar
10,Sarita Vihar Metro Station
11,Sarita Vihar
12,Apollo Hospital
13,Harkesh Nagar
14,Okhla Tank
15,C.R.R.I.
16,Sukhdev Vihar Depot
17,Kalkaji Crossing,
18,Kalka More,
19,Ishwar Nagar,
20,New Friends Colony,
21,Ashram,
22,Bhogal,
23,Bhogal (Jangpura),
24,Hazrat Nizamuddin,
25,Nizamuddin Dargah,
26,Golf Club,
27,Kaka Nagar,
28,Zoo,
29,National Stadium,
30,I.T.P.O. Off Pragati Maidan,
31,Pragati Maidan Gate Number 5
32,Supreme Court
33,Pragati Maidan Metro Station
34,Lala R.C. Agarwal Chowk
35,Express Building
36,Shaheed Bhagat Singh Park
37,Delhi Gate
38,Darya Ganj
39,Subhash Park
40,Jama Masjid
41,Red Fort
42,Kauria Bridge
43,G.P.O.
44,G.G.S. Indraprastha University
45,NItyanand Marg
46,Mori Gate Terminal
