route_stop_number,stop_name
1,Old Delhi Railway Station Terminal
2,Kauria Bridge
3,Red Fort
4,Jama Masjid
5,Darya Ganj
6,Delhi Gate
7,Shaheed Park
8,Express Building
9,Lala R.C. Agarwal Chowk
10,Supreme Court (Pragati Maidan Metro Station)
11,Pragati Maidan Gate Number 5
12,I.T.P.O. Off Pragati Maidan
13,National Stadium
14,Zoo
15,Sunder Nagar Market
16,Delhi Public School
17,Amir Khusroo Park (Oberoi Hotel)
18,Shiv Mandir Nizamuddin
19,C.G.O. Complex
20,Pant Nagar
21,Defence Colony
22,MCKR Hospital
23,Central School
24,Andrews Ganj (K.V.)
25,Siri Fort
26,Krishi Vihar
27,Chirag Delhi
28,Sheikh Sarai Phase 2
29,Pushpa Bhawan
30,Pushp Vihar
31,Madangiri DDA Flats
32,Ambedkar Nagar
