route_stop_number,stop_name
1,Shahdara Terminal
2,Shahdara (Shyam Lal College)
3,Kanti Nagar Extension
4,Jharkhandi
5,East Azad Nagar
6,Swaran Cinema
7,Krishna Nagar A Block
8,Hans Apartment
9,Arjun Nagar
10,Radheypuri
11,Jagat Puri A-Block
12,Jagat Puri F-Block
13,Gagan Vihar
14,Karkardooma Xing
15,New Rajdhani Enclave
16,Preet Vihar
17,Nirman Vihar
18,Shakarpur Crossing
19,Shakarpur
20,Laxmi Nagar
21,Rainy Well
22,Delhi Secretariat
23,ITO
24,Tilak Bridge
25,Supreme Court
26,Patiala House
27,National Stadium
28,Shahjahan Road UPSC
29,Humayun Road
30,Sujan Singh Park
31,Sujan Singh Park
32,Bharti Nagar
33,Dyal Singh College
34,Pragati Vihar
35,J L Nehru Stadium
36,Sewa Nagar Flyover
37,Defence Colony (Homoeopathic College)
38,PT College Kotla
39,South Extension
40,South Extn Kotla Petrol Pump
41,AIIMS
42,SJ Hospital
43,Nauroji Nagar
44,Africa Avenue
45,Bhikaji Cama Place
46,Mohammadpur Village
47,R K Puram Sec-2
48,RK Khanna Tennis Stadium
49,R K Puram Sec-3
50,R K Puram Sec-3
51,R K Puram Sec-4
52,RK Puram Sec 1-4
53,R K Puram Nab
54,Munirka Village (T)
55,Vasant Vihar Depot
56,Vasant Lok
57,Vasant Vihar F Block Poorvi Marg
58,Modern SchoolVasant Vihar F Block
59,Indian AirLines/Priya Cinema
60,CPWD Colony Vasant Vihar
