route_stop_number,stop_name
1,Narela Terminal
2,Police Station Narela
3,Police Station Narela
4,Pitori Johad
5,Sector A6 Narela
6,State Bank of Hyderabad Narela
7,Sector A9 Narela
8,Sector A6 Pocket-13 Narela
9,Pocket 2 Sector A/10 Narela
10,Satyawadi Rajaharish Candra Hospital
11,Rana Harishchand Hospital Crossing
12,Munim Ji Ka Bagh
13,New Anaj Mandi
14,Kurani More
15,Swatrant Nagar
16,Maharaja Agrashen School Narela
17,Bharat Mata Public School
18,Kaushalya Devi Netrahin Ashram
19,Sanoth Crossing
20,Delhi Jal Board
21,Jain Shukal Mandir
22,CRPF Camp
23,J.J. Colony Bawana
24,Bawana Road
25,Bawana
26,Narela Road Bawana
27,Pana Begwan
28,Ishwar Colony
29,Bawana Extension
30,Bawana More
31,Shri Krishna Gaushala Sultanpur Dabas
32,Prem Piao
33,Chandpur Kala Majra Dabas
34,Udhan Pana
35,Kanjhawala Chowk
36,Kanjhawala Village
37,Kanjhawala Bus Depot
38,Dasu Sub Station
39,Dera Sacha Sauda
40,Haryana Shakti Senior Secondary School Kanjhawala
41,Sir Chhotu Ram Institute
42,Ghevra Village
43,Ghevra Phatak (FCI)
44,Ghevra Crossing
45,Hiran Kudna Crossing
46,Mile Stone Factory
47,Shiv Shankar Dharam Kanta
48,Mundka School
49,Mundka Village
50,Mundka Village Crossing
51,Swarn Park
52,Rajdhani Park
53,Qamruddin Nagar
54,Nangloi JJ Colony
55,Nangloi Railway Station
56,Lokesh Cinema
57,Nangloi Metro Station
58,Nangloi
59,Rao Raghuveer Hospital
60,Qamruddin Nagar
61,Ram Nagar (Naraina Dharm Kanta)
62,Shiv Ram Park
63,Kunwar Singh Nagar Bus Stop
64,Laxmi Park
65,Ranhola Extension
66,Ranhola 2
67,P.S. Ranhola
68,Brahm Puri Colony Nangloi
69,Karuna Sindhu Hospital
70,Tilangpur Kotla
71,Satyam Vihar (Chanchal Park)
72,Bakkarwala Crossing
73,Primary School Baprola
74,Baprola Village
75,Baprola School
76,Air Force Station Bani Camp
77,Jai Vihar
78,D.K. Depot
79,Nirmal Vihar
80,Udasin Ashram
81,Najafgarh Nangloi Stand
82,Surukpur Crossing
83,Najafgarh Terminal
